DOI,omid
10.1145/1054972.1055014,br/061603368052
10.1145/1054972.1055016,br/061603367581
10.1145/1054972.1055017,br/061303345034
10.1145/1054972.1055018,br/061303344980
10.1145/1054972.1055020,br/061703367217
10.1145/1054972.1055021,br/061603367970
10.1145/1054972.1055023,br/061403340780
10.1145/1054972.1055024,br/061503361567
10.1145/1054972.1055025,br/061603368065
10.1145/1054972.1055027,br/061303344976
10.1145/1054972.1055028,br/061603367860
10.1145/1054972.1055029,br/061403340806
10.1145/1054972.1055031,br/061703367238
10.1145/1054972.1055032,br/061603368009
10.1145/1054972.1055033,br/061703367601
10.1145/1054972.1055035,br/061303344961
10.1145/1054972.1055036,br/061503361570
10.1145/1054972.1055038,br/061703367165
10.1145/1054972.1055039,br/061703367589
10.1145/1054972.1055040,br/061303345284
10.1145/1054972.1055042,br/061503361006
10.1145/1054972.1055043,br/061603367833
10.1145/1054972.1055044,br/061703367164
10.1145/1054972.1055046,br/061503361457
10.1145/1054972.1055047,br/061503361197
10.1145/1054972.1055048,br/061503361136
10.1145/1054972.1055050,br/061303344893
10.1145/1054972.1055051,br/061503361761
10.1145/1054972.1055052,br/061703367428
10.1145/1054972.1055054,br/061703367525
10.1145/1054972.1055055,br/061303345282
10.1145/1054972.1055056,br/061603368066
10.1145/1054972.1055058,br/061403340824
10.1145/1054972.1055059,br/061703367522
10.1145/1054972.1055060,br/061603367279
10.1145/1054972.1055062,br/061703367609
10.1145/1054972.1055064,br/061603367879
10.1145/1054972.1055065,br/061503361384
10.1145/1054972.1055066,br/061603367983
10.1145/1054972.1055068,br/061303344983
10.1145/1054972.1055069,br/061303344920
10.1145/1054972.1055070,br/061403339989
10.1145/1054972.1055072,br/061703367358
10.1145/1054972.1055073,br/061303344934
10.1145/1054972.1055074,br/061703367186
10.1145/1054972.1055076,br/061503361652
10.1145/1054972.1055078,br/061603368047
10.1145/1054972.1055079,br/061503361345
10.1145/1054972.1055081,br/061303344953
10.1145/1054972.1055082,br/061703367596
10.1145/1054972.1055084,br/061703367139
10.1145/1054972.1055086,br/061603367188
10.1145/1054972.1055088,br/061703367184
10.1145/1054972.1055089,br/061703367245
10.1145/1054972.1055090,br/061403340783
10.1145/1054972.1055092,br/061403340493
10.1145/1054972.1055093,br/061403340444
10.1145/1054972.1055094,br/061403340781
10.1145/1054972.1055096,br/061603367491
10.1145/1054972.1055097,br/061703367140
10.1145/1054972.1055098,br/061303345010
10.1145/1054972.1055100,br/061303345035
10.1145/1054972.1055101,br/061303345001
10.1145/1124772.1124774,br/061403325954
10.1145/1124772.1124775,br/061403326035
10.1145/1124772.1124776,br/061403326371
10.1145/1124772.1124778,br/061403326449
10.1145/1124772.1124779,br/061403326824
10.1145/1124772.1124780,br/061403326030
10.1145/1124772.1124782,br/061503348232
10.1145/1124772.1124783,br/061403326320
10.1145/1124772.1124784,br/061503348188
10.1145/1124772.1124785,br/061303331650
10.1145/1124772.1124787,br/061303331599
10.1145/1124772.1124788,br/061503348194
10.1145/1124772.1124789,br/061403326017
10.1145/1124772.1124790,br/061303331456
10.1145/1124772.1124792,br/061403326089
10.1145/1124772.1124793,br/061303331611
10.1145/1124772.1124794,br/061403326646
10.1145/1124772.1124796,br/061303331254
10.1145/1124772.1124797,br/061503348226
10.1145/1124772.1124798,br/061403326789
10.1145/1124772.1124800,br/061403326086
10.1145/1124772.1124801,br/061403326239
10.1145/1124772.1124802,br/061503348301
10.1145/1124772.1124804,br/061303331658
10.1145/1124772.1124805,br/061403326864
10.1145/1124772.1124806,br/061503348208
10.1145/1124772.1124808,br/061403326753
10.1145/1124772.1124809,br/061503348148
10.1145/1124772.1124810,br/061403326155
10.1145/1124772.1124812,br/061403326123
10.1145/1124772.1124813,br/061403326543
10.1145/1124772.1124814,br/061303331587
10.1145/1124772.1124815,br/061503348079
10.1145/1124772.1124817,br/061303331632
10.1145/1124772.1124818,br/061403326597
10.1145/1124772.1124819,br/061403326443
10.1145/1124772.1124821,br/061303331279
10.1145/1124772.1124822,br/061403326168
10.1145/1124772.1124823,br/061403326135
10.1145/1124772.1124825,br/061303331434
10.1145/1124772.1124826,br/061403326215
10.1145/1124772.1124827,br/061403326102
10.1145/1124772.1124828,br/061403326416
10.1145/1124772.1124830,br/061303331496
10.1145/1124772.1124831,br/061503348218
10.1145/1124772.1124832,br/061403326096
10.1145/1124772.1124834,br/061403326825
10.1145/1124772.1124835,br/061403326039
10.1145/1124772.1124836,br/061403326084
10.1145/1124772.1124838,br/061503348249
10.1145/1124772.1124839,br/061403326038
10.1145/1124772.1124840,br/061403326647
10.1145/1124772.1124842,br/061303331410
10.1145/1124772.1124843,br/061403326629
10.1145/1124772.1124844,br/061403325937
10.1145/1124772.1124845,br/061303331615
10.1145/1124772.1124846,br/061503348241
10.1145/1124772.1124848,br/061403326072
10.1145/1124772.1124849,br/061303331248
10.1145/1124772.1124850,br/061303331492
10.1145/1124772.1124851,br/061503348253
10.1145/1124772.1124853,br/061303331618
10.1145/1124772.1124854,br/061503348080
10.1145/1124772.1124855,br/061503348248
10.1145/1124772.1124857,br/061403326043
10.1145/1124772.1124858,br/061303331491
10.1145/1124772.1124859,br/061303331297
10.1145/1124772.1124861,br/061503348306
10.1145/1124772.1124862,br/061303331295
10.1145/1124772.1124863,br/061303331306
10.1145/1124772.1124865,br/061303331337
10.1145/1124772.1124866,br/061303331635
10.1145/1124772.1124867,br/061403326766
10.1145/1124772.1124869,br/061503348222
10.1145/1124772.1124870,br/061303331392
10.1145/1124772.1124871,br/061403326781
10.1145/1124772.1124873,br/061403326276
10.1145/1124772.1124874,br/061403326378
10.1145/1124772.1124875,br/061403326077
10.1145/1124772.1124877,br/061403325942
10.1145/1124772.1124878,br/061403326134
10.1145/1124772.1124879,br/061403326936
10.1145/1124772.1124881,br/061403325950
10.1145/1124772.1124882,br/061303331287
10.1145/1124772.1124883,br/061403326474
10.1145/1124772.1124885,br/061403326765
10.1145/1124772.1124886,br/061403326754
10.1145/1124772.1124887,br/061403326048
10.1145/1124772.1124889,br/061403326094
10.1145/1124772.1124890,br/061503348212
10.1145/1124772.1124891,br/061403326756
10.1145/1124772.1124893,br/061403326691
10.1145/1124772.1124894,br/061403326762
10.1145/1124772.1124896,br/061303331320
10.1145/1124772.1124897,br/061303331666
10.1145/1124772.1124898,br/061503348246
10.1145/1124772.1124900,br/061303331293
10.1145/1124772.1124901,br/061403325938
10.1145/1124772.1124902,br/061303331377
10.1145/1124772.1124903,br/061503348244
10.1145/1124772.1124905,br/061303331619
10.1145/1124772.1124906,br/061303331278
10.1145/1124772.1124907,br/061403326092
10.1145/1124772.1124908,br/061403326217
10.1145/1124772.1124910,br/061403326780
10.1145/1124772.1124911,br/061403326328
10.1145/1124772.1124912,br/061303331668
10.1145/1124772.1124914,br/061303331485
10.1145/1124772.1124915,br/061403326641
10.1145/1124772.1124916,br/061403326095
10.1145/1124772.1124917,br/061303331503
10.1145/1124772.1124919,br/061403326097
10.1145/1124772.1124920,br/061403326065
10.1145/1124772.1124921,br/061403326181
10.1145/1124772.1124923,br/061503348234
10.1145/1124772.1124924,br/061503348277
10.1145/1124772.1124925,br/061403326757
10.1145/1124772.1124926,br/061303331610
10.1145/1124772.1124928,br/061303331374
10.1145/1124772.1124929,br/061303331388
10.1145/1124772.1124930,br/061303331675
10.1145/1124772.1124932,br/061303331391
10.1145/1124772.1124933,br/061403326080
10.1145/1124772.1124934,br/061403326050
10.1145/1124772.1124936,br/061503348120
10.1145/1124772.1124937,br/061403326044
10.1145/1124772.1124938,br/061403326739
10.1145/1124772.1124939,br/061503348305
10.1145/1124772.1124941,br/061403325962
10.1145/1124772.1124942,br/061403326082
10.1145/1124772.1124943,br/061403326810
10.1145/1124772.1124945,br/061503348211
10.1145/1124772.1124946,br/061403326784
10.1145/1124772.1124947,br/061503348239
10.1145/1124772.1124948,br/061403326025
10.1145/1124772.1124950,br/061303331315
10.1145/1124772.1124951,br/061303331291
10.1145/1124772.1124952,br/061303331313
10.1145/1124772.1124954,br/061403326066
10.1145/1124772.1124955,br/061503348236
10.1145/1124772.1124956,br/061303331422
10.1145/1124772.1124957,br/061403326349
10.1145/1124772.1124959,br/061403326037
10.1145/1124772.1124960,br/061503348240
10.1145/1124772.1124961,br/061403326799
10.1145/1124772.1124963,br/061403325958
10.1145/1124772.1124964,br/061303331300
10.1145/1124772.1124965,br/061503348223
10.1145/1124772.1124967,br/061503348330
10.1145/1124772.1124968,br/061303331682
10.1145/1124772.1124969,br/061403326046
10.1145/1240624.1240626,br/061203265191
10.1145/1240624.1240627,br/061203264865
10.1145/1240624.1240628,br/06903291151
10.1145/1240624.2180994,br/062202268858
10.1145/1240624.2180960,br/062202268637
10.1145/1240624.2180963,br/062202268734
10.1145/1240624.2180962,br/062202268794
10.1145/1240624.2181033,br/062102275353
10.1145/1240624.2180964,br/062102275218
10.1145/1240624.2180966,br/062202268644
10.1145/1240624.1240630,br/06903290946
10.1145/1240624.1240631,br/061203264667
10.1145/1240624.1240632,br/06903290933
10.1145/1240624.1240634,br/06903291077
10.1145/1240624.1240635,br/06903291059
10.1145/1240624.1240636,br/06903291000
10.1145/1240624.1240638,br/061203265122
10.1145/1240624.1240639,br/06903290695
10.1145/1240624.1240640,br/06903290497
10.1145/1240624.1240642,br/06903290451
10.1145/1240624.1240644,br/06903290770
10.1145/1240624.1240645,br/06903290439
10.1145/1240624.1240646,br/061203264669
10.1145/1240624.1240648,br/06903290947
10.1145/1240624.1240649,br/061203264942
10.1145/1240624.1240650,br/061203264829
10.1145/1240624.1240651,br/061203265106
10.1145/1240624.1240653,br/061203264704
10.1145/1240624.1240654,br/06903290710
10.1145/1240624.1240656,br/06903290450
10.1145/1240624.1240657,br/061203265326
10.1145/1240624.1240658,br/061203264973
10.1145/1240624.1240659,br/06903291008
10.1145/1240624.1240661,br/061203264870
10.1145/1240624.1240662,br/06903290524
10.1145/1240624.1240664,br/061203265262
10.1145/1240624.1240665,br/06903291180
10.1145/1240624.1240666,br/06903290950
10.1145/1240624.1240668,br/061203265160
10.1145/1240624.1240669,br/061203264935
10.1145/1240624.1240670,br/06903290458
10.1145/1240624.1240672,br/06903290641
10.1145/1240624.1240673,br/061203265208
10.1145/1240624.1240674,br/06903290987
10.1145/1240624.1240675,br/061203264757
10.1145/1240624.1240676,br/061203264886
10.1145/1240624.1240678,br/06903290449
10.1145/1240624.1240679,br/061203264613
10.1145/1240624.1240680,br/061203265228
10.1145/1240624.1240682,br/061203264918
10.1145/1240624.1240683,br/061203264649
10.1145/1240624.1240684,br/061203265185
10.1145/1240624.1240686,br/061203264696
10.1145/1240624.1240687,br/06903290362
10.1145/1240624.1240688,br/06903290457
10.1145/1240624.1240690,br/06903290477
10.1145/1240624.1240691,br/06903290986
10.1145/1240624.1240692,br/061203265179
10.1145/1240624.1240693,br/06903290931
10.1145/1240624.1240695,br/061203264926
10.1145/1240624.1240696,br/06903290686
10.1145/1240624.1240697,br/061203264933
10.1145/1240624.1240698,br/06903290724
10.1145/1240624.1240700,br/06903291102
10.1145/1240624.1240701,br/06903290723
10.1145/1240624.1240702,br/061203265170
10.1145/1240624.1240704,br/06903290472
10.1145/1240624.1240705,br/06903290478
10.1145/1240624.1240706,br/06903290780
10.1145/1240624.1240708,br/06903290455
10.1145/1240624.1240710,br/06903290949
10.1145/1240624.1240711,br/06903290779
10.1145/1240624.1240712,br/06903291048
10.1145/1240624.1240714,br/06903290661
10.1145/1240624.1240715,br/061203264917
10.1145/1240624.1240716,br/06903290566
10.1145/1240624.1240718,br/061203264709
10.1145/1240624.1240719,br/061203264941
10.1145/1240624.1240720,br/061203265186
10.1145/1240624.1240722,br/061203264897
10.1145/1240624.1240723,br/06903290965
10.1145/1240624.1240724,br/06903290997
10.1145/1240624.1240726,br/06903290975
10.1145/1240624.1240727,br/061203265231
10.1145/1240624.1240728,br/061203264655
10.1145/1240624.1240730,br/06903290994
10.1145/1240624.1240731,br/061203265279
10.1145/1240624.1240732,br/06903290410
10.1145/1240624.1240734,br/06903290718
10.1145/1240624.1240735,br/06903290435
10.1145/1240624.1240736,br/061203264695
10.1145/1240624.1240738,br/06903290436
10.1145/1240624.1240739,br/061203265082
10.1145/1240624.1240741,br/06903291094
10.1145/1240624.1240742,br/061203264911
10.1145/1240624.1240744,br/061203264626
10.1145/1240624.1240745,br/06903290454
10.1145/1240624.1240746,br/061203264824
10.1145/1240624.1240747,br/06903290683
10.1145/1240624.1240749,br/06903290989
10.1145/1240624.1240750,br/06903290424
10.1145/1240624.1240751,br/06903291099
10.1145/1240624.1240752,br/06903290995
10.1145/1240624.1240754,br/061203264937
10.1145/1240624.1240755,br/06903290902
10.1145/1240624.1240756,br/06903290971
10.1145/1240624.1240758,br/06903291188
10.1145/1240624.1240759,br/061203264603
10.1145/1240624.1240760,br/06903290426
10.1145/1240624.1240762,br/061203265161
10.1145/1240624.1240763,br/061203264661
10.1145/1240624.1240764,br/061203264673
10.1145/1240624.1240765,br/061203264722
10.1145/1240624.1240767,br/06903290474
10.1145/1240624.1240768,br/06903290833
10.1145/1240624.1240769,br/061203264904
10.1145/1240624.1240770,br/061203265081
10.1145/1240624.1240772,br/06903290712
10.1145/1240624.1240773,br/06903290743
10.1145/1240624.1240774,br/06903291047
10.1145/1240624.1240775,br/06903291139
10.1145/1240624.1240777,br/06903290443
10.1145/1240624.1240778,br/061203265094
10.1145/1240624.1240780,br/061203264609
10.1145/1240624.1240781,br/061203265173
10.1145/1240624.1240782,br/061203265190
10.1145/1240624.1240784,br/06903291178
10.1145/1240624.1240785,br/06903290437
10.1145/1240624.1240786,br/06903290664
10.1145/1240624.1240787,br/06903290466
10.1145/1240624.1240789,br/061203264698
10.1145/1240624.1240790,br/06903290438
10.1145/1240624.1240791,br/061203265107
10.1145/1240624.1240793,br/061203264650
10.1145/1240624.1240794,br/061203264759
10.1145/1240624.1240795,br/06903290389
10.1145/1240624.1240797,br/061203264890
10.1145/1240624.1240798,br/06903290420
10.1145/1240624.1240799,br/061203264674
10.1145/1240624.1240801,br/06903291161
10.1145/1240624.1240802,br/061203265116
10.1145/1240624.1240803,br/061203265027
10.1145/1240624.1240804,br/06903290988
10.1145/1240624.1240806,br/061203264631
10.1145/1240624.1240807,br/061203264883
10.1145/1240624.1240808,br/06903290719
10.1145/1240624.1240810,br/06903291159
10.1145/1240624.1240811,br/06903290490
10.1145/1240624.1240812,br/06903290784
10.1145/1240624.1240813,br/061203264831
10.1145/1240624.1240815,br/06903290430
10.1145/1240624.1240816,br/06903291012
10.1145/1240624.1240817,br/06903290621
10.1145/1240624.1240819,br/06903290662
10.1145/1240624.1240820,br/061203265175
10.1145/1240624.1240822,br/06903290493
10.1145/1240624.1240823,br/06903290720
10.1145/1240624.1240824,br/06903290431
10.1145/1240624.1240826,br/06903290941
10.1145/1240624.1240827,br/06903290948
10.1145/1240624.1240828,br/061203264905
10.1145/1240624.1240830,br/061203264671
10.1145/1240624.1240831,br/061203265293
10.1145/1240624.1240832,br/06903290471
10.1145/1240624.1240834,br/06903290608
10.1145/1240624.1240835,br/061203264906
10.1145/1240624.1240836,br/06903290940
10.1145/1240624.1240838,br/061203265115
10.1145/1240624.1240839,br/06903291176
10.1145/1240624.1240840,br/061203264681
10.1145/1240624.1240842,br/06903290977
10.1145/1240624.1240843,br/06903291175
10.1145/1240624.1240844,br/061203264676
10.1145/1240624.1240846,br/06903290468
10.1145/1240624.1240847,br/06903290685
10.1145/1240624.1240848,br/061203265204
10.1145/1240624.1240850,br/06903290891
10.1145/1240624.1240851,br/06903291152
10.1145/1240624.1240852,br/061203264884
10.1145/1240624.1240854,br/06903290705
10.1145/1240624.1240855,br/061203264679
10.1145/1240624.1240856,br/061203264748
10.1145/1240624.1240858,br/06903290982
10.1145/1240624.1240859,br/061203264666
10.1145/1240624.1240860,br/061203264804
10.1145/1240624.1240861,br/06903290463
10.1145/1240624.1240863,br/061203264670
10.1145/1240624.1240864,br/061203264925
10.1145/1240624.1240865,br/061203265158
10.1145/1357054.2181017,br/06410155903
10.1145/1357054.1357056,br/062503231701
10.1145/1357054.1357057,br/062503231754
10.1145/1357054.1357058,br/062503231136
10.1145/1357054.1357059,br/062503231613
10.1145/1357054.1357061,br/062503231396
10.1145/1357054.1357062,br/062503230993
10.1145/1357054.1357063,br/062403233360
10.1145/1357054.1357065,br/062503231333
10.1145/1357054.1357066,br/062403233335
10.1145/1357054.1357067,br/062503231010
10.1145/1357054.1357069,br/062503231003
10.1145/1357054.1357070,br/062503231610
10.1145/1357054.1357071,br/062503231244
10.1145/1357054.1357072,br/062503231529
10.1145/1357054.1357074,br/062503231092
10.1145/1357054.1357076,br/062503231374
10.1145/1357054.1357077,br/062503231347
10.1145/1357054.1357078,br/062503231460
10.1145/1357054.1357080,br/062503231395
10.1145/1357054.1357081,br/062503231776
10.1145/1357054.1357082,br/062503231575
10.1145/1357054.1357084,br/062503231126
10.1145/1357054.1357085,br/062503231086
10.1145/1357054.1357086,br/062503230929
10.1145/1357054.1357087,br/062503231562
10.1145/1357054.1357089,br/062503231035
10.1145/1357054.1357090,br/062503231023
10.1145/1357054.1357091,br/062403233378
10.1145/1357054.1357092,br/062503231798
10.1145/1357054.1357093,br/062503231535
10.1145/1357054.1357095,br/062503231579
10.1145/1357054.1357096,br/062503231127
10.1145/1357054.1357097,br/062503231722
10.1145/1357054.1357098,br/062503231015
10.1145/1357054.1357100,br/062503231159
10.1145/1357054.1357101,br/062503231602
10.1145/1357054.1357102,br/062503231397
10.1145/1357054.1357104,br/062503231117
10.1145/1357054.1357105,br/062503231399
10.1145/1357054.1357106,br/062503230927
10.1145/1357054.1357107,br/062503231470
10.1145/1357054.1357109,br/062503231753
10.1145/1357054.1357110,br/062503231530
10.1145/1357054.1357111,br/062503231366
10.1145/1357054.1357113,br/062403233432
10.1145/1357054.1357114,br/062503231681
10.1145/1357054.1357115,br/062503231013
10.1145/1357054.1357117,br/062503231734
10.1145/1357054.1357118,br/062503231501
10.1145/1357054.1357119,br/062503231012
10.1145/1357054.1357121,br/062503231583
10.1145/1357054.1357122,br/062503231325
10.1145/1357054.1357123,br/062503231031
10.1145/1357054.1357125,br/062503231034
10.1145/1357054.1357126,br/062503231019
10.1145/1357054.1357127,br/062403233440
10.1145/1357054.1357129,br/062503231807
10.1145/1357054.1357130,br/062503231698
10.1145/1357054.1357131,br/062503231684
10.1145/1357054.1357133,br/062503231594
10.1145/1357054.1357134,br/062503231797
